"","GRP","COHES","G.COHES","W.COHES","LEAD","G.LEAD","W.LEAD","HRS","G.HRS","W.HRS","WBEING","G.WBEING","W.WBEING"
"1",1,3.75,2.9290540541,0.8209459459,3.1818181818,2.9291496041,0.2526685777,12,10.972972973,1.027027027,2.1111111111,2.7930136018,-0.681902491
"2",1,3.25,2.9290540541,0.3209459459,3,2.9291496041,0.0708503959,11,10.972972973,0.027027027,3.3333333333,2.7930136018,0.5403197315
"3",1,3.375,2.9290540541,0.4459459459,3.6363636364,2.9291496041,0.7072140322,12,10.972972973,1.027027027,2.1111111111,2.7930136018,-0.681902491
"4",1,3.75,2.9290540541,0.8209459459,3.3636363636,2.9291496041,0.4344867595,9,10.972972973,-1.972972973,4.3888888889,2.7930136018,1.5958752871
"5",1,4,2.9290540541,1.0709459459,3.5454545455,2.9291496041,0.6163049413,7,10.972972973,-3.972972973,1.7222222222,2.7930136018,-1.07079138
"6",1,3,2.9290540541,0.0709459459,3.25,2.9291496041,0.3208503959,8,10.972972973,-2.972972973,3.3333333333,2.7930136018,0.5403197315
"7",1,3.625,2.9290540541,0.6959459459,3.6363636364,2.9291496041,0.7072140322,9,10.972972973,-1.972972973,3.4444444444,2.7930136018,0.6514308426
"8",1,3.375,2.9290540541,0.4459459459,3.2727272727,2.9291496041,0.3435776686,8,10.972972973,-2.972972973,3.6666666667,2.7930136018,0.8736530648
"9",1,3.875,2.9290540541,0.9459459459,3.5454545455,2.9291496041,0.6163049413,12,10.972972973,1.027027027,3.0555555556,2.7930136018,0.2625419537
"10",1,3.375,2.9290540541,0.4459459459,2.5454545455,2.9291496041,-0.383695059,11,10.972972973,0.027027027,1.7222222222,2.7930136018,-1.07079138
"11",1,4,2.9290540541,1.0709459459,3.4545454545,2.9291496041,0.5253958504,11,10.972972973,0.027027027,3.6666666667,2.7930136018,0.8736530648
"12",1,4,2.9290540541,1.0709459459,4,2.9291496041,1.0708503959,10,10.972972973,-0.972972973,4.2777777778,2.7930136018,1.4847641759
"13",1,2.25,2.9290540541,-0.679054054,2,2.9291496041,-0.929149604,11,10.972972973,0.027027027,1.8888888889,2.7930136018,-0.904124713
"14",1,1.5,2.9290540541,-1.429054054,1.9090909091,2.9291496041,-1.020058695,12,10.972972973,1.027027027,2.6111111111,2.7930136018,-0.181902491
"15",1,1.375,2.9290540541,-1.554054054,1.1818181818,2.9291496041,-1.747331422,12,10.972972973,1.027027027,2.9444444444,2.7930136018,0.1514308426
"16",1,2.875,2.9290540541,-0.054054054,2.9090909091,2.9291496041,-0.020058695,12,10.972972973,1.027027027,2.6111111111,2.7930136018,-0.181902491
"17",1,4.5,2.9290540541,1.5709459459,2.8333333333,2.9291496041,-0.095816271,14,10.972972973,3.027027027,2.4444444444,2.7930136018,-0.348569157
"18",1,4.375,2.9290540541,1.4459459459,4.3636363636,2.9291496041,1.4344867595,11,10.972972973,0.027027027,4.5555555556,2.7930136018,1.7625419537
"19",1,4.25,2.9290540541,1.3209459459,3.4,2.9291496041,0.4708503959,8,10.972972973,-2.972972973,3.7222222222,2.7930136018,0.9292086204
"20",1,2.625,2.9290540541,-0.304054054,2.9090909091,2.9291496041,-0.020058695,12,10.972972973,1.027027027,1.6666666667,2.7930136018,-1.126346935
"21",1,3.125,2.9290540541,0.1959459459,2.4545454545,2.9291496041,-0.47460415,12,10.972972973,1.027027027,1.6666666667,2.7930136018,-1.126346935
"22",1,4.125,2.9290540541,1.1959459459,3.5454545455,2.9291496041,0.6163049413,10,10.972972973,-0.972972973,3.7777777778,2.7930136018,0.9847641759
"23",1,2.375,2.9290540541,-0.554054054,3.5454545455,2.9291496041,0.6163049413,11,10.972972973,0.027027027,1.7777777778,2.7930136018,-1.015235824
"24",1,2.25,2.9290540541,-0.679054054,2.9090909091,2.9291496041,-0.020058695,12,10.972972973,1.027027027,3.8888888889,2.7930136018,1.0958752871
"25",1,3.125,2.9290540541,0.1959459459,2.4,2.9291496041,-0.529149604,11,10.972972973,0.027027027,1.9444444444,2.7930136018,-0.848569157
"26",1,2.25,2.9290540541,-0.679054054,1.8181818182,2.9291496041,-1.110967786,11,10.972972973,0.027027027,2.4444444444,2.7930136018,-0.348569157
"27",1,3.75,2.9290540541,0.8209459459,3.6363636364,2.9291496041,0.7072140322,12,10.972972973,1.027027027,3.8888888889,2.7930136018,1.0958752871
"28",1,2,2.9290540541,-0.929054054,2.8333333333,2.9291496041,-0.095816271,10,10.972972973,-0.972972973,4.3333333333,2.7930136018,1.5403197315
"29",1,2.25,2.9290540541,-0.679054054,1.7272727273,2.9291496041,-1.201876877,12,10.972972973,1.027027027,0.3333333333,2.7930136018,-2.459680269
"30",1,2,2.9290540541,-0.929054054,2.8333333333,2.9291496041,-0.095816271,12,10.972972973,1.027027027,3.4444444444,2.7930136018,0.6514308426
"31",1,3.75,2.9290540541,0.8209459459,2.7272727273,2.9291496041,-0.201876877,13,10.972972973,2.027027027,2.7777777778,2.7930136018,-0.015235824
"32",1,2.875,2.9290540541,-0.054054054,3,2.9291496041,0.0708503959,13,10.972972973,2.027027027,2.8888888889,2.7930136018,0.0958752871
"33",1,4,2.9290540541,1.0709459459,3.8181818182,2.9291496041,0.889032214,8,10.972972973,-2.972972973,2.9444444444,2.7930136018,0.1514308426
"34",1,2.125,2.9290540541,-0.804054054,1.5454545455,2.9291496041,-1.383695059,14,10.972972973,3.027027027,1.2222222222,2.7930136018,-1.57079138
"35",1,2.5,2.9290540541,-0.429054054,3.0909090909,2.9291496041,0.1617594868,14,10.972972973,3.027027027,2.4444444444,2.7930136018,-0.348569157
"36",1,4,2.9290540541,1.0709459459,1.6666666667,2.9291496041,-1.262482937,11,10.972972973,0.027027027,1,2.7930136018,-1.793013602
"37",1,2.75,2.9290540541,-0.179054054,2.5454545455,2.9291496041,-0.383695059,10,10.972972973,-0.972972973,2.6111111111,2.7930136018,-0.181902491
"38",1,3.125,2.9290540541,0.1959459459,3.0909090909,2.9291496041,0.1617594868,12,10.972972973,1.027027027,2.6111111111,2.7930136018,-0.181902491
"39",1,3,2.9290540541,0.0709459459,3.6363636364,2.9291496041,0.7072140322,13,10.972972973,2.027027027,2.9444444444,2.7930136018,0.1514308426
"40",1,3.75,2.9290540541,0.8209459459,3.3636363636,2.9291496041,0.4344867595,12,10.972972973,1.027027027,3.1111111111,2.7930136018,0.3180975093
"41",1,3.125,2.9290540541,0.1959459459,3.3636363636,2.9291496041,0.4344867595,10,10.972972973,-0.972972973,4.0555555556,2.7930136018,1.2625419537
"42",1,3.25,2.9290540541,0.3209459459,4.1818181818,2.9291496041,1.2526685777,11,10.972972973,0.027027027,4.0555555556,2.7930136018,1.2625419537
"43",1,3.5,2.9290540541,0.5709459459,3.2727272727,2.9291496041,0.3435776686,11,10.972972973,0.027027027,3.0555555556,2.7930136018,0.2625419537
"44",1,2.75,2.9290540541,-0.179054054,3.1818181818,2.9291496041,0.2526685777,12,10.972972973,1.027027027,3.7222222222,2.7930136018,0.9292086204
"45",1,2.625,2.9290540541,-0.304054054,2.3636363636,2.9291496041,-0.565513241,10,10.972972973,-0.972972973,2.5,2.7930136018,-0.293013602
"46",1,2.5,2.9290540541,-0.429054054,3,2.9291496041,0.0708503959,11,10.972972973,0.027027027,2.6111111111,2.7930136018,-0.181902491
"47",1,3,2.9290540541,0.0709459459,3.9090909091,2.9291496041,0.9799413049,13,10.972972973,2.027027027,4.3333333333,2.7930136018,1.5403197315
"48",1,2.375,2.9290540541,-0.554054054,2.7272727273,2.9291496041,-0.201876877,9,10.972972973,-1.972972973,2.9444444444,2.7930136018,0.1514308426
"49",1,2.125,2.9290540541,-0.804054054,3.0909090909,2.9291496041,0.1617594868,10,10.972972973,-0.972972973,0.4444444444,2.7930136018,-2.348569157
"50",1,4,2.9290540541,1.0709459459,3.0909090909,2.9291496041,0.1617594868,12,10.972972973,1.027027027,3.3888888889,2.7930136018,0.5958752871
"51",1,3.75,2.9290540541,0.8209459459,2.6363636364,2.9291496041,-0.292785968,12,10.972972973,1.027027027,2.7777777778,2.7930136018,-0.015235824
"52",1,2.375,2.9290540541,-0.554054054,2.7272727273,2.9291496041,-0.201876877,12,10.972972973,1.027027027,4.1666666667,2.7930136018,1.3736530648
"53",1,2,2.9290540541,-0.929054054,1.6363636364,2.9291496041,-1.292785968,11,10.972972973,0.027027027,2.1666666667,2.7930136018,-0.626346935
"54",1,3.375,2.9290540541,0.4459459459,2.5454545455,2.9291496041,-0.383695059,12,10.972972973,1.027027027,2.8333333333,2.7930136018,0.0403197315
"55",1,3.375,2.9290540541,0.4459459459,3.1818181818,2.9291496041,0.2526685777,10,10.972972973,-0.972972973,2.6666666667,2.7930136018,-0.126346935
"56",1,2.375,2.9290540541,-0.554054054,3,2.9291496041,0.0708503959,11,10.972972973,0.027027027,2.5555555556,2.7930136018,-0.237458046
"57",1,2,2.9290540541,-0.929054054,1.7272727273,2.9291496041,-1.201876877,8,10.972972973,-2.972972973,3.3888888889,2.7930136018,0.5958752871
"58",1,3.125,2.9290540541,0.1959459459,3.4545454545,2.9291496041,0.5253958504,8,10.972972973,-2.972972973,2.5,2.7930136018,-0.293013602
"59",1,2.5,2.9290540541,-0.429054054,3.1818181818,2.9291496041,0.2526685777,11,10.972972973,0.027027027,2.3333333333,2.7930136018,-0.459680269
"60",1,2.625,2.9290540541,-0.304054054,2.3636363636,2.9291496041,-0.565513241,12,10.972972973,1.027027027,3.8888888889,2.7930136018,1.0958752871
"61",1,3,2.9290540541,0.0709459459,3.5,2.9291496041,0.5708503959,8,10.972972973,-2.972972973,2.2941176471,2.7930136018,-0.498895955
"62",1,4,2.9290540541,1.0709459459,3.7272727273,2.9291496041,0.7981231231,9,10.972972973,-1.972972973,3.4444444444,2.7930136018,0.6514308426
"63",1,2.125,2.9290540541,-0.804054054,3.0909090909,2.9291496041,0.1617594868,8,10.972972973,-2.972972973,3.4444444444,2.7930136018,0.6514308426
"64",1,3.75,2.9290540541,0.8209459459,4,2.9291496041,1.0708503959,9,10.972972973,-1.972972973,3.6111111111,2.7930136018,0.8180975093
