"variable","eta_B_waba","eta_W_waba","E_waba","eta_B_int","eta_W_int","E_int","delta_eta_B","E_ratio","class_waba","class_iwaba","V_C","V_R","V_W","delta_E","ICC1","branch","scale_definition","radius_definition","analysis_family","target_label","pair_label","var1","var2","r_between_waba","r_within","r_between_int","weighted_between_waba","weighted_within_waba","weighted_between_int","weighted_within_int","delta_A","dominance_waba","dominance_iwaba","flipped","consistency_rate_waba","consistency_rate_iwaba","n_pairs","n_dominance_flips","pi_R","E_C_int","E_R_int","E_R_het_int","V_R_het","r_R_billard","r_R_billard_defined","r_R_het","r_R_het_defined","statistic","df1","df2","p_value","center","p_adj","reject","estimate","ci_lower","ci_upper","ci_defined","boot_defined_rate","reject_null","notes","stat_name","n_finite","n","K","p","G","radius_prop","mean_eta_B_waba","mean_eta_B_int","mean_delta_eta_B","reclassified","mean_pi_R","mean_E_R_het_int","mean_r_R_billard","mean_r_R_het_signed","T_het","level3_consistency_waba","level3_consistency_iwaba","level2_dominance_flips"
"COHES",0.237778600133842,0.971319379667878,0.24479960465233,0.531280497927966,0.847195982356746,0.627104600342933,0.293501897794124,2.56170593589627,"Within","Within",0.0426604468873002,0.237291795041484,0.711875385124453,-0.431923143195668,0.0565386626816086,"original_scale_sd_radius","Original scale","Population within-company SD","entity","COHES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEAD",0.370845445230168,0.928694597675704,0.399319050803465,0.574554592666759,0.818466260786316,0.701989342987423,0.203709147436591,1.75796607142824,"Within","Within",0.0819392494736291,0.171289470463636,0.513868411390907,-0.260639691453642,0.137526344247958,"original_scale_sd_radius","Original scale","Population within-company SD","entity","LEAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WBEING",0.235928726420388,0.971770361788038,0.242782385322273,0.530803095832096,0.847495176065954,0.626319902251322,0.294874369411708,2.5797584178932,"Within","Within",0.04592012975021,0.259685382233555,0.779056146700666,-0.473450634716901,0.0556623639503465,"original_scale_sd_radius","Original scale","Population within-company SD","entity","WBEING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HRS",0.378788067883903,0.925483441034349,0.409286704752446,0.577676749219998,0.81626562674819,0.707706817842282,0.198888681336094,1.72912242109192,"Within","Within",0.740927335875544,1.47434488946741,4.42303466840222,-2.20776244305927,0.143480400371225,"original_scale_sd_radius","Original scale","Population within-company SD","entity","HRS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_sd_radius","Original scale","Population within-company SD","pairwise","COHES--LEAD","COHES--LEAD","COHES","LEAD",0.653259918381386,0.405271452128045,0.897297739746161,0.0576038787456049,0.365578785360285,0.27389982107401,0.281015763038279,-0.00394874709161173,"Within","Within",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_sd_radius","Original scale","Population within-company SD","pairwise","COHES--WBEING","COHES--WBEING","COHES","WBEING",0.271475033883808,0.238488643611727,0.884060871433602,0.015229424255125,0.225109284032587,0.249309880489864,0.171233536388394,0.0328344925257949,"Within","Between",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_sd_radius","Original scale","Population within-company SD","pairwise","COHES--HRS","COHES--HRS","COHES","HRS",-0.0275926070740169,-0.111481274645456,0.729224408279776,-0.00248520256038201,-0.100214977234731,0.223805089799015,-0.0770934217113961,0.0441453225487742,"Within","Between",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_sd_radius","Original scale","Population within-company SD","pairwise","LEAD--WBEING","LEAD--WBEING","LEAD","WBEING",0.532317759922493,0.420113909371022,0.870416821727617,0.0465741275895587,0.379143512461305,0.265455680520478,0.291410420074681,-0.0144533146075117,"Within","Within",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_sd_radius","Original scale","Population within-company SD","pairwise","LEAD--HRS","LEAD--HRS","LEAD","HRS",-0.299579288678393,-0.107624529167174,0.557941245252374,-0.0420824508155703,-0.0925023649893364,0.18518450967037,-0.0719024277759525,0.0291233435017795,"Within","Between",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_sd_radius","Original scale","Population within-company SD","pairwise","WBEING--HRS","WBEING--HRS","WBEING","HRS",-0.712172853974945,-0.110703088581513,0.578078937809277,-0.063644741783466,-0.0995616395189053,0.177257851680681,-0.0765823133656373,0.0255554952620176,"Within","Between",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
