"variable","eta_B_waba","eta_W_waba","E_waba","eta_B_int","eta_W_int","E_int","delta_eta_B","E_ratio","class_waba","class_iwaba","V_C","V_R","V_W","delta_E","ICC1","branch","scale_definition","radius_definition","analysis_family","target_label","pair_label","var1","var2","r_between_waba","r_within","r_between_int","weighted_between_waba","weighted_within_waba","weighted_between_int","weighted_within_int","delta_A","dominance_waba","dominance_iwaba","flipped","consistency_rate_waba","consistency_rate_iwaba","n_pairs","n_dominance_flips","pi_R","E_C_int","E_R_int","E_R_het_int","V_R_het","r_R_billard","r_R_billard_defined","r_R_het","r_R_het_defined","statistic","df1","df2","p_value","center","p_adj","reject","estimate","ci_lower","ci_upper","ci_defined","boot_defined_rate","reject_null","notes","stat_name","n_finite","n","K","p","G","radius_prop","mean_eta_B_waba","mean_eta_B_int","mean_delta_eta_B","reclassified","mean_pi_R","mean_E_R_het_int","mean_r_R_billard","mean_r_R_het_signed","T_het","level3_consistency_waba","level3_consistency_iwaba","level2_dominance_flips"
"COHES",0.237778600133842,0.971319379667878,0.24479960465233,0.534899028556238,0.844915989462617,0.633079543087407,0.297120428422395,2.58611342116554,"Within","Within",0.0426604468873002,0.242651880760673,0.711875385124453,-0.426563057476479,0.0565386626816086,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","entity","COHES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEAD",0.370845445230168,0.928694597675704,0.399319050803465,0.568802309800464,0.822474274592012,0.69157459068567,0.197956864570296,1.73188479060581,"Within","Within",0.0819392494736291,0.163831377973591,0.513868411390907,-0.268097783943687,0.137526344247958,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","entity","LEAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WBEING",0.235928726420388,0.971770361788038,0.242782385322273,0.536188806040921,0.844098077403575,0.635220977744937,0.300260079620533,2.61642119094322,"Within","Within",0.04592012975021,0.26843345871489,0.779056146700666,-0.464702558235565,0.0556623639503465,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","entity","WBEING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HRS",0.378788067883903,0.925483441034349,0.409286704752446,0.526150816187157,0.850391273841394,0.618716151460992,0.147362748303254,1.51169374493906,"Within","Within",0.740927335875544,0.952253132820374,4.42303466840222,-2.7298541997063,0.143480400371225,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","entity","HRS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","pairwise","COHES--LEAD","COHES--LEAD","COHES","LEAD",0.653259918381386,0.405271452128045,0.882885869404237,0.0576038787456049,0.365578785360285,0.2686196175678,0.281631912502337,-0.00716003519745245,"Within","Within",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","pairwise","COHES--WBEING","COHES--WBEING","COHES","WBEING",0.271475033883808,0.238488643611727,0.873349451354267,0.015229424255125,0.225109284032587,0.250482623846467,0.170088183717258,0.0338115546087748,"Within","Between",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","pairwise","COHES--HRS","COHES--HRS","COHES","HRS",-0.0275926070740169,-0.111481274645456,0.624251684932997,-0.00248520256038201,-0.100214977234731,0.175687871315957,-0.0801003197401166,0.0244501669050632,"Within","Between",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","pairwise","LEAD--WBEING","LEAD--WBEING","LEAD","WBEING",0.532317759922493,0.420113909371022,0.858182564476193,0.0465741275895587,0.379143512461305,0.26173317961689,0.291663642098418,-0.016563422809747,"Within","Within",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","pairwise","LEAD--HRS","LEAD--HRS","LEAD","HRS",-0.299579288678393,-0.107624529167174,0.447473723372468,-0.0420824508155703,-0.0925023649893364,0.133918056340204,-0.0752752805087835,0.012267677958262,"Within","Between",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company","pairwise","WBEING--HRS","WBEING--HRS","WBEING","HRS",-0.712172853974945,-0.110703088581513,0.461759590197189,-0.063644741783466,-0.0995616395189053,0.130269850708422,-0.0794641868953724,0.0106556770046519,"Within","Between",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
