"variable","eta_B_waba","eta_B_int","E_waba","E_int","V_C","V_R","V_W","pi_R","E_R_het_int","branch","scale_definition","radius_definition"
"COHES",0.237778600133842,0.531280497927966,0.24479960465233,0.627104600342933,0.0426604468873002,0.237291795041484,0.711875385124453,0.847615269685347,0.0528053832133061,"original_scale_sd_radius","Original scale","Population within-company SD"
"HRS",0.378788067883903,0.577676749219998,0.409286704752446,0.707706817842282,0.740927335875544,1.47434488946741,4.42303466840222,0.665536665246259,0.119551642274607,"original_scale_sd_radius","Original scale","Population within-company SD"
"LEAD",0.370845445230168,0.574554592666759,0.399319050803465,0.701989342987423,0.0819392494736291,0.171289470463636,0.513868411390907,0.676421973408352,0.0530277981502764,"original_scale_sd_radius","Original scale","Population within-company SD"
"WBEING",0.235928726420388,0.530803095832096,0.242782385322273,0.626319902251322,0.04592012975021,0.259685382233555,0.779056146700666,0.849740505489805,0.0559363930986104,"original_scale_sd_radius","Original scale","Population within-company SD"
"COHES",0.237778600133842,0.531280497927966,0.244799604652329,0.627104600342933,0.0565310036918127,0.31444451055482,0.943333531664459,0.847615269685347,0.0528053832133061,"standardized_scale_sd_radius","Global z-score by variable","Population within-company SD"
"HRS",0.378788067883903,0.577676749219998,0.409286704752446,0.707706817842282,0.143460963849902,0.28546785716879,0.85640357150637,0.665536665246259,0.119551642274607,"standardized_scale_sd_radius","Global z-score by variable","Population within-company SD"
"LEAD",0.370845445230168,0.574554592666759,0.399319050803465,0.701989342987423,0.137507714290735,0.287452273688512,0.862356821065537,0.676421973408353,0.0530277981502764,"standardized_scale_sd_radius","Global z-score by variable","Population within-company SD"
"WBEING",0.235928726420388,0.530803095832096,0.242782385322273,0.626319902251322,0.0556548236680445,0.314736570562743,0.944209711688228,0.849740505489805,0.0559363930986105,"standardized_scale_sd_radius","Global z-score by variable","Population within-company SD"
"COHES",0.237778600133842,0.534899028556238,0.24479960465233,0.633079543087407,0.0426604468873002,0.242651880760673,0.711875385124453,0.85047808049873,0.0991752363048123,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company"
"HRS",0.378788067883903,0.526150816187157,0.409286704752446,0.618716151460992,0.740927335875544,0.952253132820374,4.42303466840222,0.562404983063498,0.167806774148322,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company"
"LEAD",0.370845445230168,0.568802309800464,0.399319050803465,0.69157459068567,0.0819392494736291,0.163831377973591,0.513868411390907,0.666602757519403,0.0813510711149902,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company"
"WBEING",0.235928726420388,0.536188806040921,0.242782385322273,0.635220977744937,0.04592012975021,0.26843345871489,0.779056146700666,0.85392204372654,0.0846144817462004,"original_scale_iqr_radius","Original scale","0.7413 * IQR within company"
