"analysis_family","target_label","estimate","p_value","p_adj","reject","ci_lower","ci_upper","ci_defined","boot_defined_rate","reject_null","notes"
"brown_forsythe","COHES",1.32975363770677,0.0168812475067122,0.0225083300089495,TRUE,NA,NA,NA,NA,TRUE,"H0: equal within-group variances"
"brown_forsythe","LEAD",1.20298556362134,0.0852554746499852,0.0852554746499852,FALSE,NA,NA,NA,NA,FALSE,"H0: equal within-group variances"
"brown_forsythe","WBEING",1.39023778152079,0.00684821694697924,0.0136964338939585,TRUE,NA,NA,NA,NA,TRUE,"H0: equal within-group variances"
"brown_forsythe","HRS",2.27792616516581,1.58361102009508e-11,6.33444408038031e-11,TRUE,NA,NA,NA,NA,TRUE,"H0: equal within-group variances"
"delta_E","COHES",-0.431923143195668,NA,NA,NA,-0.432689584900319,-0.398667860540897,TRUE,1,TRUE,"Bootstrap CI for entity-level dominance contrast"
"delta_E","LEAD",-0.260639691453642,NA,NA,NA,-0.264325814170404,-0.233427680189144,TRUE,1,TRUE,"Bootstrap CI for entity-level dominance contrast"
"delta_E","WBEING",-0.473450634716901,NA,NA,NA,-0.474201010647894,-0.437487006322366,TRUE,1,TRUE,"Bootstrap CI for entity-level dominance contrast"
"delta_E","HRS",-2.20776244305927,NA,NA,NA,-2.3025596559457,-1.9411197634254,TRUE,1,TRUE,"Bootstrap CI for entity-level dominance contrast"
"pi_R","COHES",0.847615269685347,NA,NA,NA,0.792845105733976,0.843239990458236,TRUE,1,TRUE,"Bootstrap CI for radius share"
"pi_R","LEAD",0.676421973408352,NA,NA,NA,0.629875702853457,0.683557089480358,TRUE,1,TRUE,"Bootstrap CI for radius share"
"pi_R","WBEING",0.849740505489805,NA,NA,NA,0.793957952377262,0.844049500540874,TRUE,1,TRUE,"Bootstrap CI for radius share"
"pi_R","HRS",0.665536665246259,NA,NA,NA,0.620033646564206,0.673233120468955,TRUE,1,TRUE,"Bootstrap CI for radius share"
"E_R_het","COHES",0.0528053832133061,NA,NA,NA,0.0616527664633355,0.0764664917758256,TRUE,1,TRUE,"Bootstrap CI for heterogeneity-focused dispersion index"
"E_R_het","LEAD",0.0530277981502764,NA,NA,NA,0.0621368149002968,0.0775115052771012,TRUE,1,TRUE,"Bootstrap CI for heterogeneity-focused dispersion index"
"E_R_het","WBEING",0.0559363930986104,NA,NA,NA,0.0639436935069818,0.0790042676091012,TRUE,1,TRUE,"Bootstrap CI for heterogeneity-focused dispersion index"
"E_R_het","HRS",0.119551642274607,NA,NA,NA,0.125158076357547,0.157540734494025,TRUE,1,TRUE,"Bootstrap CI for heterogeneity-focused dispersion index"
"delta_A","COHES--LEAD",-0.00394874709161173,NA,NA,NA,-0.011513317677402,0.00749361849232055,TRUE,1,FALSE,"Bootstrap CI for pairwise dominance contrast"
"delta_A","COHES--WBEING",0.0328344925257949,NA,NA,NA,0.0262620515538634,0.0382509870977231,TRUE,1,TRUE,"Bootstrap CI for pairwise dominance contrast"
"delta_A","COHES--HRS",0.0441453225487742,NA,NA,NA,0.0369022676876121,0.0456067838170378,TRUE,1,TRUE,"Bootstrap CI for pairwise dominance contrast"
"delta_A","LEAD--WBEING",-0.0144533146075117,NA,NA,NA,-0.0220697092031277,-0.00302899120712353,TRUE,1,TRUE,"Bootstrap CI for pairwise dominance contrast"
"delta_A","LEAD--HRS",0.0291233435017795,NA,NA,NA,0.0229174920214297,0.0311418814574896,TRUE,1,TRUE,"Bootstrap CI for pairwise dominance contrast"
"delta_A","WBEING--HRS",0.0255554952620176,NA,NA,NA,0.0192787404692941,0.0272049316116856,TRUE,1,TRUE,"Bootstrap CI for pairwise dominance contrast"
"r_R_het","COHES--LEAD",0.220599895170689,NA,NA,NA,0.0921409989494773,0.376844326756379,TRUE,1,TRUE,"Bootstrap CI for signed heterogeneity-based radius correlation"
"r_R_het","COHES--WBEING",0.24432464315222,NA,NA,NA,0.0227074936489851,0.350135633388826,TRUE,1,TRUE,"Bootstrap CI for signed heterogeneity-based radius correlation"
"r_R_het","COHES--HRS",0.262477723985489,NA,NA,NA,0.03572187625733,0.327616969857007,TRUE,1,TRUE,"Bootstrap CI for signed heterogeneity-based radius correlation"
"r_R_het","LEAD--WBEING",0.244841999012785,NA,NA,NA,0.0907225929246058,0.385033392749147,TRUE,1,TRUE,"Bootstrap CI for signed heterogeneity-based radius correlation"
"r_R_het","LEAD--HRS",0.223736408535547,NA,NA,NA,0.00659213549089712,0.326490971387412,TRUE,1,TRUE,"Bootstrap CI for signed heterogeneity-based radius correlation"
"r_R_het","WBEING--HRS",0.362822116208504,NA,NA,NA,0.0884609957709935,0.39803707253706,TRUE,1,TRUE,"Bootstrap CI for signed heterogeneity-based radius correlation"
