"branch","selection_rule","pair_label","var1","var2","delta_A","dominance_waba","dominance_iwaba","flipped","r_R_billard","r_R_het","r_R_het_defined","delta_A_estimate","delta_A_ci_lower","delta_A_ci_upper","delta_A_ci_defined","delta_A_n_finite","delta_A_boot_defined_rate","delta_A_reject_null","delta_A_p_value","delta_A_q_value","delta_A_q_le_0_05","delta_A_q_le_0_10","r_R_het_estimate","r_R_het_ci_lower","r_R_het_ci_upper","r_R_het_ci_defined","r_R_het_n_finite","r_R_het_boot_defined_rate","r_R_het_reject_null","r_R_het_p_value","r_R_het_q_value","r_R_het_q_le_0_05","r_R_het_q_le_0_10","bootstrap_B","bootstrap_seed","checkpoint_file","checkpoint_every"
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_5745","Probe_5540","Probe_5745",0.000305438111723358,"Between","Between",FALSE,0.0185527790552451,-0.066838752260347,TRUE,0.000305438111723358,-8.93500085034184e-07,0.00111478213742015,TRUE,399,1,FALSE,0.06,0.104403409090909,FALSE,FALSE,-0.066838752260347,-0.0996645629886966,-0.026048982283533,TRUE,399,1,TRUE,0.1,0.155456852791878,FALSE,FALSE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_12504","Probe_5540","Probe_12504",0.000198468578171419,"Between","Between",FALSE,0.0169548794882162,-0.0685902884425443,TRUE,0.000198468578171419,-9.30405979989635e-05,0.00077629570683489,TRUE,399,1,FALSE,0.365,0.45811987704918,FALSE,FALSE,-0.0685902884425443,-0.103068173336344,-0.0281480663746225,TRUE,399,1,TRUE,0.31,0.400580168776371,FALSE,FALSE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_1852","Probe_5540","Probe_1852",0.000148916349609975,"Between","Between",FALSE,0.0175709316792198,-0.0687922508740791,TRUE,0.000148916349609975,-0.00153019129172064,0.000492897596635118,TRUE,399,1,FALSE,0.22,0.296153846153846,FALSE,FALSE,-0.0687922508740791,-0.104611634301813,-0.0260852257431473,TRUE,399,1,TRUE,0.03,0.0605436573311367,FALSE,TRUE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_6296","Probe_5540","Probe_6296",0.000157756038601177,"Between","Between",FALSE,0.0177648742145626,-0.0695007481398508,TRUE,0.000157756038601177,-0.000932651811646152,0.000582490665541485,TRUE,399,1,FALSE,0.13,0.191636582430806,FALSE,FALSE,-0.0695007481398508,-0.101920713366112,-0.0277686691080864,TRUE,399,1,TRUE,0.065,0.110283933518006,FALSE,FALSE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_6297","Probe_5540","Probe_6297",0.000171490713780281,"Between","Between",FALSE,0.0171388974958675,-0.0716295806611338,TRUE,0.000171490713780281,-0.000704870699963999,0.000588598956236191,TRUE,399,1,FALSE,0.135,0.19758064516129,FALSE,FALSE,-0.0716295806611338,-0.104874848975455,-0.0292020880727862,TRUE,399,1,TRUE,0.23,0.311325966850829,FALSE,FALSE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_1097","Probe_5540","Probe_1097",0.108793797445464,"Within","Between",TRUE,0.999537710865649,0.999714887167337,TRUE,0.108793797445464,0.0557333360175539,0.136294346950272,TRUE,399,1,TRUE,0.15,0.213911525029104,FALSE,FALSE,0.999714887167337,0.893252548550719,0.999872880404521,TRUE,399,1,TRUE,0.175,0.250730994152047,FALSE,FALSE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_4455","Probe_5540","Probe_4455",-0.263426119196254,"Within","Within",FALSE,0.995695843771375,0.995722258239312,TRUE,-0.263426119196254,-0.384007996125002,0.0426508598247587,TRUE,399,1,FALSE,0.255,0.335887096774194,FALSE,FALSE,0.995722258239312,0.797222830258998,0.999132665259723,TRUE,399,1,TRUE,0.02,0.0423143350604491,TRUE,TRUE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_2434","Probe_5540","Probe_2434",0.000250075404018481,"Between","Between",FALSE,0.0189615226897044,-0.0772617632424609,TRUE,0.000250075404018481,-6.8535079549727e-06,0.000909872866831169,TRUE,399,1,FALSE,0.12,0.179487179487179,FALSE,FALSE,-0.0772617632424609,-0.111867813381232,-0.0365271591965476,TRUE,399,1,TRUE,0.36,0.45,FALSE,FALSE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_1141","Probe_5540","Probe_1141",-0.24799895629098,"Within","Within",FALSE,0.99853226360546,0.999102534425453,TRUE,-0.24799895629098,-0.394466387103116,0.0502293356690263,TRUE,399,1,FALSE,0.04,0.0777777777777778,FALSE,TRUE,0.999102534425453,0.917014905037838,0.999724736359726,TRUE,399,1,TRUE,0.06,0.10337552742616,FALSE,FALSE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
"allgenes_illustration_top50_erhet","Top 50 all-gene probes among BH-significant heterogeneous genes, ranked by E_R_het^(Int) from the all-gene screening branch; used only as a prespecified illustration.","Probe_5540--Probe_1060","Probe_5540","Probe_1060",-0.268956874546415,"Within","Within",FALSE,0.999036248114982,0.999664531767007,TRUE,-0.268956874546415,-0.382260752223535,0.139810734988787,TRUE,399,1,FALSE,0.035,0.0694894651539708,FALSE,TRUE,0.999664531767007,0.764149703647188,0.999825410453305,TRUE,399,1,TRUE,0.125,0.188114250614251,FALSE,FALSE,399,20260323,"D:/08-MyProjects-new/04-I-WABA/05-I-WABA_20260330/I-WABA_Rproject/results/cancer14_allgenes_pairwise_illustration_checkpoint_v1.rds",25
