"variable","eta_B_waba","eta_W_waba","E_waba","eta_B_int","eta_W_int","E_int","delta_eta_B","E_ratio","class_waba","class_iwaba","V_C","V_R","V_W","delta_E","F_score","branch","selection_rule","analysis_family","target_label","pair_label","var1","var2","r_between_waba","r_within","r_between_int","weighted_between_waba","weighted_within_waba","weighted_between_int","weighted_within_int","delta_A","dominance_waba","dominance_iwaba","flipped","n_pairs","mean_abs_r_between_waba","mean_abs_r_between_int","mean_abs_weighted_between_waba","mean_abs_weighted_within_waba","mean_abs_weighted_between_int","mean_abs_weighted_within_int","proportion_between_dominant_waba","proportion_between_dominant_iwaba","consistency_rate_waba","consistency_rate_iwaba","n_dominance_flips","pi_R","E_C_int","E_R_int","E_R_het_int","V_R_het","r_R_billard","r_R_billard_defined","r_R_het","r_R_het_defined","statistic","df1","df2","p_value","center","p_adj","reject","within_group_dominant","stat_name","estimate","ci_lower","ci_upper","ci_defined","n_finite","boot_defined_rate","reject_null","notes","n","p","K","G","radius_prop","mean_eta_B_waba","mean_eta_B_int","mean_delta_eta_B","reclassified_count","reclassified_prop","mean_pi_R","mean_E_R_het_int","T_het","dominance_flip_count","mean_r_R_billard","mean_r_R_het_signed","positive_r_R_het_count","negative_r_R_het_count","bf_raw_count","bf_bh_count","bf_bh_prop","selected_pair_count","bootstrap_B","bootstrap_seed"
"Probe_5308",0.91443541899581,0.404731842688412,2.25936119313399,0.919061138528431,0.394114987848501,2.33196190671571,0.00462571953262103,1.03213329227852,"Between","Between",0.831968942910436,0.0543268506796864,0.162980552039059,0.723315241551063,72.2513224762562,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_5308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_45",0.90771489040829,0.419587509026503,2.16335060239116,0.913074616898161,0.407792525650331,2.23906658279729,0.00535972648987104,1.03499940338956,"Between","Between",0.81978497720697,0.0583881725808417,0.175164517742525,0.703008632045287,66.2412148085675,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_7185",0.90771489040829,0.419587509026503,2.16335060239116,0.913074616898161,0.407792525650331,2.23906658279729,0.00535972648987104,1.03499940338956,"Between","Between",0.81978497720697,0.0583881725808417,0.175164517742525,0.703008632045287,66.2412148085675,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_7185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_5998",0.883159042275582,0.469073668038269,1.88277258446221,0.891630485925594,0.45276381985323,1.96930595340995,0.00847144365001218,1.04596060600301,"Between","Between",0.776030652064472,0.0729729476283411,0.218918842885023,0.630084756807789,50.1730153295126,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_5998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_13266",0.879368778731278,0.476141314099774,1.84686510641042,0.888379571773438,0.459109721586947,1.9350049236655,0.00901079304215924,1.04772401457429,"Between","Between",0.769383946739626,0.0751885160699563,0.225565548209869,0.619006914599713,48.2775055934503,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_13266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_46",0.87797039954039,0.478714923029236,1.83401510440645,0.887184108731593,0.461415601398705,1.92274406422809,0.00921370919120279,1.04837962326943,"Between","Between",0.766938931446541,0.0760035211676512,0.228010563502953,0.614931889111239,47.6080383220881,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_7186",0.87797039954039,0.478714923029236,1.83401510440645,0.887184108731593,0.461415601398705,1.92274406422809,0.00921370919120279,1.04837962326943,"Between","Between",0.766938931446541,0.0760035211676512,0.228010563502953,0.614931889111239,47.6080383220881,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_7186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_6731",0.855955936437078,0.517048774177181,1.65546458900174,0.868639594937712,0.495444501540231,1.75325307322475,0.0126836585006344,1.05907011534567,"Between","Between",0.728960259237421,0.0886630785706913,0.265989235712074,0.551634102096038,38.7895071539014,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_6731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_3597",0.853498172732012,0.521095834893273,1.63789098968104,0.866600986665618,0.499001733373921,1.73666929131936,0.0131028139336061,1.06030822701916,"Between","Between",0.724780044337404,0.0900564835373637,0.270169450612091,0.544667077262676,37.9703375777243,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_3597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_5729",0.853236157578615,0.521524744763354,1.63604156110709,0.866384028512536,0.499378328663138,1.73492516351659,0.0131478709339212,1.0604407643181,"Between","Between",0.724335112616693,0.090204794110934,0.270614382332802,0.543925524394825,37.8846373922485,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_5729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_1995",0.851863562049035,0.523763755574142,1.62642709233524,0.865248638295525,0.501342990304782,1.72586164567597,0.0133850762464895,1.06113680337061,"Between","Between",0.722006520627947,0.0909809914405161,0.272942974321548,0.540044537746914,37.4406750730382,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_4454",0.848727833621391,0.528829901231332,1.60491649894457,0.862662162597701,0.505780578138641,1.70560555285148,0.0139343289763099,1.06273787700054,"Between","Between",0.71670086013152,0.0927495449393251,0.278248634817975,0.53120177025287,36.456867863042,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_4454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_4614",0.848173005455953,0.529719315124355,1.60117439791079,0.862205580277707,0.506558523112564,1.70208483509439,0.0140325748217541,1.06302276461282,"Between","Between",0.71576412674386,0.0930617894018782,0.279185368205635,0.529640547940104,36.2870568665073,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_4614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_14347",0.845411362053496,0.534115744863276,1.58282426643294,0.859937691736437,0.510399026577255,1.6848341140131,0.0145263296829402,1.06444799321282,"Between","Between",0.711110672245263,0.0946129409014105,0.283838822704231,0.521884790442442,35.4600930113269,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_14347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_6457",0.844746494076557,0.535166666324955,1.57847367415,0.859392872286538,0.511315842765598,1.68074759357791,0.0146463782099814,1.06479292059336,"Between","Between",0.709992615824055,0.0949856263751466,0.28495687912544,0.520021363073762,35.2654278274741,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_6457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_6732",0.841716787022301,0.539919299937366,1.55896777003516,0.856915973984357,0.515456121828464,1.66244213172722,0.0151991869620564,1.06637363753179,"Between","Between",0.704908931628099,0.0966801877737987,0.290040563321396,0.511548556080501,34.3992318056575,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_6732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_7889",0.837483905902631,0.546461990767952,1.53255655480393,0.853471215211975,0.521139985804769,1.63770049978799,0.0159873093093444,1.06860689392145,"Between","Between",0.697836972986099,0.0990375073211321,0.297112521963396,0.499761958343834,33.2435573258261,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_7889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_1009",0.83747322789267,0.546478355072763,1.53249112269261,0.853462548532356,0.521154178964973,1.63763926872343,0.0159893206396864,1.06861256451918,"Between","Between",0.697819178106478,0.0990434389476724,0.297130316843017,0.499732300211133,33.2407187360174,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_1009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_4351",0.83729177719915,0.546756325829604,1.53138013708156,0.853315294042926,0.52139525213837,1.63659966319845,0.016023516843776,1.06870895316522,"Between","Between",0.697516825619022,0.0991442231101575,0.297432669330473,0.499228379398707,33.1925402201248,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_4351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_7096",0.836237816121315,0.548366952768539,1.52496026957752,0.852460627168128,0.522791429853361,1.63059411170385,0.016222811046813,1.06926989786796,"Between","Between",0.695761898822905,0.0997291987088632,0.29918759612659,0.496303501405179,32.9148233521038,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_7096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_4602",0.834483414104947,0.551033058521674,1.51439809499583,0.851040478088708,0.525100090130008,1.62072049516884,0.016557063983761,1.07020769540344,"Between","Between",0.69284558574748,0.100701303067338,0.302103909202015,0.491442979612803,32.4604532756435,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_4602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_930",0.833897011424258,0.551920079665245,1.510901744923,0.850566497086133,0.525867506159703,1.61745399197154,0.0166694856618748,1.07052228737348,"Between","Between",0.69187218411856,0.101025770276978,0.303077310830935,0.489820643564604,32.3107408644068,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_9236",0.833174787426432,0.553009740960247,1.50661864649926,0.849983214175297,0.526809771758489,1.61345377352826,0.0168084267488645,1.0709105301977,"Between","Between",0.690674265663671,0.101425076428608,0.304275229285824,0.487824112806456,32.1278117892449,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_42",0.832613282436571,0.553854784135877,1.50330611251397,0.849530097444478,0.527540153482156,1.61036101581453,0.0169168150079066,1.07121297679122,"Between","Between",0.689743641331772,0.101735284539241,0.305205853617723,0.48627307225329,31.9866911767404,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probe_7182",0.832613282436571,0.553854784135877,1.50330611251397,0.849530097444478,0.527540153482156,1.61036101581453,0.0169168150079066,1.07121297679122,"Between","Between",0.689743641331772,0.101735284539241,0.305205853617723,0.48627307225329,31.9866911767404,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","entity","Probe_7182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","pairwise","Probe_5308--Probe_45","Probe_5308--Probe_45","Probe_5308","Probe_45",0.674487788898275,0.295293043925557,0.681926489102435,0.559856327036885,0.0501467904249007,0.572253204489462,0.0474586553394136,0.325221406081832,"Between","Between",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","pairwise","Probe_5308--Probe_7185","Probe_5308--Probe_7185","Probe_5308","Probe_7185",0.674487788898275,0.295293043925557,0.681926489102435,0.559856327036885,0.0501467904249007,0.572253204489462,0.0474586553394136,0.325221406081832,"Between","Between",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"top25","Top 25 probes ranked by the same one-way ANOVA F statistic used for the top-50 branch.","pairwise","Probe_5308--Probe_5998","Probe_5308--Probe_5998","Probe_5308","Probe_5998",0.968516004599122,0.529999004612292,0.959040595221637,0.782165688918775,0.100619807538112,0.785898215709484,0.0945735562826541,0.608691847907402,"Between","Between",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
