"variable","bf_statistic","bf_p_value","bf_p_adj","bf_reject","eta_B_waba","eta_B_int","delta_eta_B","class_waba","class_iwaba","reclassified","pi_R","E_R_het_int","V_R_het"
"Probe_1",3.30315871203545,0.000153291194434191,0.000305422532398463,TRUE,0.538353036408716,0.652503585352421,0.114150548943705,"Within","Equivocal",TRUE,0.449578650150653,0.279287865285345,0.0551151717982861
"Probe_2",1.82130462923884,0.0425546451699703,0.04922976344006,TRUE,0.425305050822458,0.597131913618903,0.171826862796445,"Within","Within",FALSE,0.60150858962275,0.382618411704095,0.119310308713608
"Probe_3",2.15666437324423,0.0129971174166268,0.0165482480234049,TRUE,0.374325796010137,0.575915432301374,0.201589636291237,"Within","Within",FALSE,0.671655677849413,0.359555956114432,0.110604286514109
"Probe_4",4.38030258844089,1.96590171674949e-06,6.64246514012347e-06,TRUE,0.379417329714734,0.577926619508316,0.198509289793582,"Within","Within",FALSE,0.664673116239723,0.280805999257153,0.0671597578299495
"Probe_5",3.42276337966216,9.48220000618338e-05,0.000198893416948712,TRUE,0.63171141087687,0.706644826890555,0.0749334160136848,"Equivocal","Equivocal",FALSE,0.334205257058697,0.223843217838022,0.0299585321169054
"Probe_6",2.05594967805003,0.0187140080811597,0.0231339935206764,TRUE,0.67737080104963,0.735889764821821,0.0585189637721908,"Equivocal","Equivocal",FALSE,0.282202329613326,0.176570772265895,0.0167869353337167
"Probe_7",2.87919707002589,0.000826826935460878,0.00136260603922315,TRUE,0.444600982823445,0.605780279950813,0.161179297127368,"Within","Within",FALSE,0.575006756099058,0.317552296256914,0.0804979024150075
"Probe_8",4.17706089493405,4.48238860994987e-06,1.35875841180647e-05,TRUE,0.588605245250186,0.680706759640691,0.0921015143905048,"Within","Equivocal",TRUE,0.386047095912287,0.247206416438622,0.039737016463842
"Probe_9",3.98000597303504,9.9677719418434e-06,2.73322500344538e-05,TRUE,0.300814472120119,0.549616586730247,0.248802114610128,"Within","Within",FALSE,0.770132991004117,0.284623050908587,0.0733075939339684
"Probe_10",3.83550606782089,1.79033283430607e-05,4.57785996775843e-05,TRUE,0.35368365557775,0.568010445227591,0.214326789649841,"Within","Within",FALSE,0.69982313988224,0.257989890061204,0.057938698441411
"Probe_11",5.21665790051763,6.7184334984205e-08,3.53788549676635e-07,TRUE,0.515202787750286,0.640248799904675,0.125046012154389,"Within","Equivocal",TRUE,0.479836387892531,0.265820058260247,0.051642517829664
"Probe_12",3.96634331656928,1.05355125645801e-05,2.87369567540923e-05,TRUE,0.671819191421565,0.73223583303613,0.0604166416145656,"Equivocal","Equivocal",FALSE,0.288360829116289,0.280134884389698,0.0428388604993625
