"variable","eta_B_waba","eta_W_waba","E_waba","eta_B_int","eta_W_int","E_int","delta_eta_B","E_ratio","class_waba","class_iwaba","V_C","V_R","V_W","delta_E","F_score"
"Probe_5308",0.91443541899581,0.404731842688412,2.25936119313399,0.919061138528431,0.394114987848501,2.33196190671571,0.00462571953262103,1.03213329227852,"Between","Between",0.831968942910436,0.0543268506796864,0.162980552039059,0.723315241551063,72.2513224762562
"Probe_45",0.90771489040829,0.419587509026503,2.16335060239116,0.913074616898161,0.407792525650331,2.23906658279729,0.00535972648987104,1.03499940338956,"Between","Between",0.81978497720697,0.0583881725808417,0.175164517742525,0.703008632045287,66.2412148085675
"Probe_7185",0.90771489040829,0.419587509026503,2.16335060239116,0.913074616898161,0.407792525650331,2.23906658279729,0.00535972648987104,1.03499940338956,"Between","Between",0.81978497720697,0.0583881725808417,0.175164517742525,0.703008632045287,66.2412148085675
"Probe_5998",0.883159042275582,0.469073668038269,1.88277258446221,0.891630485925594,0.45276381985323,1.96930595340995,0.00847144365001218,1.04596060600301,"Between","Between",0.776030652064472,0.0729729476283411,0.218918842885023,0.630084756807789,50.1730153295126
"Probe_13266",0.879368778731278,0.476141314099774,1.84686510641042,0.888379571773438,0.459109721586947,1.9350049236655,0.00901079304215924,1.04772401457429,"Between","Between",0.769383946739626,0.0751885160699563,0.225565548209869,0.619006914599713,48.2775055934503
"Probe_46",0.87797039954039,0.478714923029236,1.83401510440645,0.887184108731593,0.461415601398705,1.92274406422809,0.00921370919120279,1.04837962326943,"Between","Between",0.766938931446541,0.0760035211676512,0.228010563502953,0.614931889111239,47.6080383220881
"Probe_7186",0.87797039954039,0.478714923029236,1.83401510440645,0.887184108731593,0.461415601398705,1.92274406422809,0.00921370919120279,1.04837962326943,"Between","Between",0.766938931446541,0.0760035211676512,0.228010563502953,0.614931889111239,47.6080383220881
"Probe_6731",0.855955936437078,0.517048774177181,1.65546458900174,0.868639594937712,0.495444501540231,1.75325307322475,0.0126836585006344,1.05907011534567,"Between","Between",0.728960259237421,0.0886630785706913,0.265989235712074,0.551634102096038,38.7895071539014
"Probe_3597",0.853498172732012,0.521095834893273,1.63789098968104,0.866600986665618,0.499001733373921,1.73666929131936,0.0131028139336061,1.06030822701916,"Between","Between",0.724780044337404,0.0900564835373637,0.270169450612091,0.544667077262676,37.9703375777243
"Probe_5729",0.853236157578615,0.521524744763354,1.63604156110709,0.866384028512536,0.499378328663138,1.73492516351659,0.0131478709339212,1.0604407643181,"Between","Between",0.724335112616693,0.090204794110934,0.270614382332802,0.543925524394825,37.8846373922485
"Probe_1995",0.851863562049035,0.523763755574142,1.62642709233524,0.865248638295525,0.501342990304782,1.72586164567597,0.0133850762464895,1.06113680337061,"Between","Between",0.722006520627947,0.0909809914405161,0.272942974321548,0.540044537746914,37.4406750730382
"Probe_4454",0.848727833621391,0.528829901231332,1.60491649894457,0.862662162597701,0.505780578138641,1.70560555285148,0.0139343289763099,1.06273787700054,"Between","Between",0.71670086013152,0.0927495449393251,0.278248634817975,0.53120177025287,36.456867863042
"Probe_4614",0.848173005455953,0.529719315124355,1.60117439791079,0.862205580277707,0.506558523112564,1.70208483509439,0.0140325748217541,1.06302276461282,"Between","Between",0.71576412674386,0.0930617894018782,0.279185368205635,0.529640547940104,36.2870568665073
"Probe_14347",0.845411362053496,0.534115744863276,1.58282426643294,0.859937691736437,0.510399026577255,1.6848341140131,0.0145263296829402,1.06444799321282,"Between","Between",0.711110672245263,0.0946129409014105,0.283838822704231,0.521884790442442,35.4600930113269
"Probe_6457",0.844746494076557,0.535166666324955,1.57847367415,0.859392872286538,0.511315842765598,1.68074759357791,0.0146463782099814,1.06479292059336,"Between","Between",0.709992615824055,0.0949856263751466,0.28495687912544,0.520021363073762,35.2654278274741
"Probe_6732",0.841716787022301,0.539919299937366,1.55896777003516,0.856915973984357,0.515456121828464,1.66244213172722,0.0151991869620564,1.06637363753179,"Between","Between",0.704908931628099,0.0966801877737987,0.290040563321396,0.511548556080501,34.3992318056575
"Probe_7889",0.837483905902631,0.546461990767952,1.53255655480393,0.853471215211975,0.521139985804769,1.63770049978799,0.0159873093093444,1.06860689392145,"Between","Between",0.697836972986099,0.0990375073211321,0.297112521963396,0.499761958343834,33.2435573258261
"Probe_1009",0.83747322789267,0.546478355072763,1.53249112269261,0.853462548532356,0.521154178964973,1.63763926872343,0.0159893206396864,1.06861256451918,"Between","Between",0.697819178106478,0.0990434389476724,0.297130316843017,0.499732300211133,33.2407187360174
"Probe_4351",0.83729177719915,0.546756325829604,1.53138013708156,0.853315294042926,0.52139525213837,1.63659966319845,0.016023516843776,1.06870895316522,"Between","Between",0.697516825619022,0.0991442231101575,0.297432669330473,0.499228379398707,33.1925402201248
"Probe_7096",0.836237816121315,0.548366952768539,1.52496026957752,0.852460627168128,0.522791429853361,1.63059411170385,0.016222811046813,1.06926989786796,"Between","Between",0.695761898822905,0.0997291987088632,0.29918759612659,0.496303501405179,32.9148233521038
"Probe_4602",0.834483414104947,0.551033058521674,1.51439809499583,0.851040478088708,0.525100090130008,1.62072049516884,0.016557063983761,1.07020769540344,"Between","Between",0.69284558574748,0.100701303067338,0.302103909202015,0.491442979612803,32.4604532756435
"Probe_930",0.833897011424258,0.551920079665245,1.510901744923,0.850566497086133,0.525867506159703,1.61745399197154,0.0166694856618748,1.07052228737348,"Between","Between",0.69187218411856,0.101025770276978,0.303077310830935,0.489820643564604,32.3107408644068
"Probe_9236",0.833174787426432,0.553009740960247,1.50661864649926,0.849983214175297,0.526809771758489,1.61345377352826,0.0168084267488645,1.0709105301977,"Between","Between",0.690674265663671,0.101425076428608,0.304275229285824,0.487824112806456,32.1278117892449
"Probe_42",0.832613282436571,0.553854784135877,1.50330611251397,0.849530097444478,0.527540153482156,1.61036101581453,0.0169168150079066,1.07121297679122,"Between","Between",0.689743641331772,0.101735284539241,0.305205853617723,0.48627307225329,31.9866911767404
"Probe_7182",0.832613282436571,0.553854784135877,1.50330611251397,0.849530097444478,0.527540153482156,1.61036101581453,0.0169168150079066,1.07121297679122,"Between","Between",0.689743641331772,0.101735284539241,0.305205853617723,0.48627307225329,31.9866911767404
"Probe_2799",0.832555916562144,0.553941012922285,1.50296854202949,0.849483823028754,0.527614664705647,1.61004589116695,0.0169279064666098,1.07124390573929,"Between","Between",0.689648599888478,0.101766965020339,0.305300895061017,0.4861146698478,31.972327434828
"Probe_5989",0.831418237425013,0.555647113262622,1.4963062303035,0.848566799377836,0.52908826011702,1.60382844100558,0.0171485619528228,1.07185842611928,"Between","Between",0.687765092161689,0.102394800929269,0.307184402787806,0.482975490303151,31.6895038162685
"Probe_331",0.830549943801323,0.556944154158763,1.4912625217439,0.847867796321029,0.530207695117416,1.59912389829285,0.0173178525197062,1.07232889915507,"Between","Between",0.686329304051671,0.102873396965941,0.308620190897824,0.480582510119788,31.4762276316515
"Probe_746",0.829445778453237,0.558587236343711,1.48489926816527,0.846980011995217,0.531624735391969,1.59319150447493,0.0175342335419809,1.07292901184029,"Between","Between",0.684505651417159,0.103481281177445,0.310443843532336,0.477543089062268,31.2081810718451
"Probe_5320",0.829044973774672,0.559181930554765,1.48260329684147,0.846658057301581,0.532137326266739,1.59105181221057,0.0176130835269087,1.07314735883843,"Between","Between",0.683844277790839,0.103701739052885,0.311105217158656,0.476440799685068,31.1117466606274
"Probe_3147",0.828121661325807,0.560548404727893,1.47734192862042,0.845917005168287,0.533314560430442,1.58615021589799,0.0177953438424808,1.07365139049372,"Between","Between",0.682321922896625,0.10420919068429,0.31262757205287,0.473903541528045,30.8913236943864
"Probe_1277",0.827310614519412,0.561744734824914,1.47275188040217,0.845266767820229,0.534344543547272,1.58187592261892,0.0179561533008169,1.07409533382293,"Between","Between",0.680986070811152,0.104654474712781,0.313963424138343,0.47167712138559,30.6996654327675
"Probe_2384",0.825758156984076,0.564024348919674,1.46404700181069,0.84402397224172,0.536305448677624,1.57377474780993,0.0182658152576439,1.07494823995646,"Between","Between",0.67843271294783,0.105505594000555,0.316516782001664,0.467421524946721,30.337829748154
"Probe_928",0.825577240539348,0.564289127933044,1.4630394237142,0.843879300368553,0.536533061804658,1.5728374641632,0.0183020598292049,1.07504790279011,"Between","Between",0.678135468075875,0.10560467562454,0.316814026873619,0.466926116826796,30.2960862602249
"Probe_8028",0.825563887955027,0.564308662794201,1.46296511534522,0.843868624129718,0.536549853424093,1.57276834341564,0.0183047361746914,1.07505526066116,"Between","Between",0.678113532423221,0.105611987508758,0.316835962526274,0.466889557405705,30.293008837226
"Probe_15809",0.824623991358498,0.565681246706994,1.45775380774754,0.843117567891019,0.537729268976064,1.56792203165074,0.018493576532521,1.07557395721945,"Between","Between",0.676570359815313,0.106126378378061,0.318379135134181,0.464317603059192,30.0775764751117
"Probe_3365",0.823949970187891,0.566662550930776,1.45403991993913,0.842579515349841,0.538571963912742,1.56446969357349,0.01862954516195,1.0759468650895,"Between","Between",0.675464798052562,0.106494898965644,0.319484696896933,0.462475000121274,29.9245157180689
"Probe_6729",0.823801605609246,0.566878218487559,1.45322501155039,0.84246114129349,0.538757111702918,1.56371233528707,0.0186595356842438,1.07602905459136,"Between","Between",0.675221564771016,0.10657597672616,0.319727930178479,0.462069611318696,29.890983068615
"Probe_1090",0.823187496178204,0.567769624175035,1.44986181212898,0.84197140350139,0.539522154953714,1.56058726369378,0.0187839073231866,1.0763696585692,"Between","Between",0.674215241470887,0.106911417826203,0.320734253478608,0.460392405818482,29.7527897281281
"Probe_3539",0.823068718544332,0.567941796801214,1.44921314680493,0.841876724834105,0.539669880744331,1.55998464037489,0.0188080062897732,1.07643561184508,"Between","Between",0.674020690620723,0.106976268109591,0.320928804328772,0.460068154401541,29.7261730043455
"Probe_6486",0.822019222391675,0.56945974222818,1.44350717256198,0.841040777485044,0.540971728103561,1.55468527058412,0.0190215550933684,1.07701942888501,"Between","Between",0.672302896920903,0.107548866009531,0.322646598028592,0.457205164901841,29.4925526255209
"Probe_6813",0.821385541192867,0.570373380093514,1.44008393424356,0.840536570738995,0.541754809162162,1.55150735447814,0.0191510295461276,1.07737286527893,"Between","Between",0.671266761789383,0.107894244386704,0.323682733160112,0.455478273015975,29.3528369023555
"Probe_13869",0.820904570743335,0.571065395320624,1.43749661154383,0.840154141199402,0.542347692007162,1.54910614275889,0.0192495704560667,1.07764159603493,"Between","Between",0.670480858134636,0.10815621227162,0.324468636814859,0.454168433591397,29.2474582699076
"Probe_5186",0.820687072551696,0.571377921297741,1.43632968996721,0.839981279934379,0.542615378845644,1.54802335628848,0.0192942073826833,1.07776325108465,"Between","Between",0.670125618169364,0.108274625593377,0.324823876780131,0.45357636698261,29.1999929233663
"Probe_3720",0.820517579451167,0.571621292300767,1.4354216515424,0.839846604546111,0.542823802750366,1.54718087211872,0.0193290250949444,1.07785811260143,"Between","Between",0.669848850217753,0.108366881577247,0.325100644731742,0.453115087063259,29.1630844969134
"Probe_6142",0.818486409188837,0.574525889732712,1.42462928793274,0.838234917020776,0.545309291950149,1.53717336087023,0.0197485078319393,1.07899884825533,"Between","Between",0.666536567673165,0.109470975758777,0.32841292727633,0.447594616155611,28.7262018368136
"Probe_3909",0.818265124262578,0.574841009684893,1.42346337591871,0.838059581377226,0.545578718483252,1.53609287346671,0.0197944571146482,1.07912356542037,"Between","Between",0.666176208465339,0.109591095494719,0.328773286484156,0.446994017475902,28.6792022150052
