"variable","statistic","df1","df2","p_value","center","p_adj","reject","F_score","eta_B_int","delta_eta_B","pi_R","E_R_het_int"
"Probe_5308",9.46688116505968,13,184,6.55031584528842e-15,"median",2.51935224818786e-14,TRUE,72.2513224762562,0.919061138528431,0.00462571953262103,0.0612965232065746,0.380984289134046
"Probe_45",1.7981406138836,13,184,0.0460373359885718,"median",0.0460373359885718,TRUE,66.2412148085675,0.913074616898161,0.00535972648987104,0.0664882234157919,0.218787222176329
"Probe_7185",1.7981406138836,13,184,0.0460373359885718,"median",0.0460373359885718,TRUE,66.2412148085675,0.913074616898161,0.00535972648987104,0.0664882234157919,0.218787222176329
"Probe_5998",2.51998305353316,13,184,0.00333539340062805,"median",0.00387836441933494,TRUE,50.1730153295126,0.891630485925594,0.00847144365001218,0.085951281778716,0.306035494037303
"Probe_13266",8.40029542597035,13,184,3.11417558407356e-13,"median",9.15933995315754e-13,TRUE,48.2775055934503,0.888379571773438,0.00901079304215924,0.0890255358549481,0.403290386618993
"Probe_46",2.18324132417642,13,184,0.0117929351133788,"median",0.0128184077319334,TRUE,47.6080383220881,0.887184108731593,0.00921370919120279,0.0901645431807873,0.211784595650112
"Probe_7186",2.18324132417642,13,184,0.0117929351133788,"median",0.0128184077319334,TRUE,47.6080383220881,0.887184108731593,0.00921370919120279,0.0901645431807873,0.211784595650112
"Probe_6731",2.12216997219383,13,184,0.0147360244593888,"median",0.01535002547853,TRUE,38.7895071539014,0.868639594937712,0.0126836585006344,0.108440004670585,0.193715001900001
"Probe_3597",7.12313993024346,13,184,3.76731978946054e-11,"median",7.84858289470947e-11,TRUE,37.9703375777243,0.866600986665618,0.0131028139336061,0.110520921014975,0.343260729827992
"Probe_5729",2.12366638544344,13,184,0.0146561908779927,"median",0.01535002547853,TRUE,37.8846373922485,0.866384028512536,0.0131478709339212,0.110743247035406,0.214427627149268
"Probe_1995",14.3284935370799,13,184,0,"median",0,TRUE,37.4406750730382,0.865248638295525,0.0133850762464895,0.111909457513112,0.420575981605622
"Probe_4454",3.05873917575988,13,184,0.000406617861033132,"median",0.000495875440284307,TRUE,36.456867863042,0.862662162597701,0.0139343289763099,0.114583357248685,0.204504126796597
"Probe_4614",10.0693592804742,13,184,7.7715611723761e-16,"median",3.88578058618805e-15,TRUE,36.2870568665073,0.862205580277707,0.0140325748217541,0.115057872830462,0.40722681050262
"Probe_14347",5.19299649770309,13,184,7.38777972131288e-08,"median",1.11936056383529e-07,TRUE,35.4600930113269,0.859937691736437,0.0145263296829402,0.117426049525729,0.333022627013245
"Probe_6457",5.70966244407969,13,184,9.37896316166587e-09,"median",1.56316052694431e-08,TRUE,35.2654278274741,0.859392872286538,0.0146463782099814,0.117997756207231,0.275328080800049
"Probe_6732",14.736623603236,13,184,0,"median",0,TRUE,34.3992318056575,0.856915973984357,0.0151991869620564,0.120610653804703,0.485508449574931
"Probe_7889",10.6835206397633,13,184,1.11022302462516e-16,"median",6.16790569236198e-16,TRUE,33.2435573258261,0.853471215211975,0.0159873093093444,0.12428244318095,0.433135511813922
"Probe_1009",6.44558830055184,13,184,5.16901077496357e-10,"median",9.9404053364684e-10,TRUE,33.2407187360174,0.853462548532356,0.0159893206396864,0.124291737155166,0.294519611094801
"Probe_4351",9.79831870887117,13,184,1.99840144432528e-15,"median",8.32667268468867e-15,TRUE,33.1925402201248,0.853315294042926,0.016023516843776,0.124449693214336,0.352051668968737
"Probe_7096",3.55519993160571,13,184,5.5613611785077e-05,"median",7.12995022885602e-05,TRUE,32.9148233521038,0.852460627168128,0.016222811046813,0.125368088993454,0.250342961110909
"Probe_4602",4.60342520389576,13,184,7.96220152032845e-07,"median",1.10586132226784e-06,TRUE,32.4604532756435,0.851040478088708,0.016557063983761,0.12690025565816,0.282057419363697
"Probe_930",2.39031966865158,13,184,0.00545786322637587,"median",0.00620211730269985,TRUE,32.3107408644068,0.850566497086133,0.0166694856618748,0.127413331964004,0.217654362084272
"Probe_9236",8.00632488713079,13,184,1.33981714611764e-12,"median",3.72171429477122e-12,TRUE,32.1278117892449,0.849983214175297,0.0168084267488645,0.12804590414215,0.372096417692107
"Probe_42",7.70222614776363,13,184,4.18376444599744e-12,"median",1.04594111149936e-11,TRUE,31.9866911767404,0.849530097444478,0.0169168150079066,0.12853821019591,0.297272479782687
"Probe_7182",7.70222614776363,13,184,4.18376444599744e-12,"median",1.04594111149936e-11,TRUE,31.9866911767404,0.849530097444478,0.0169168150079066,0.12853821019591,0.297272479782687
