"scenario","K","n","p","rep","n_pairs","prop_corr_decrease","prop_corr_increase","prop_corr_equal","mean_signed_diff","mean_negative_diff"
"heteroscedastic",2,500,10,1,45,1,0,0,-0.0166741239188519,-0.0166741239188519
"heteroscedastic",2,500,10,2,45,1,0,0,-0.0242380217323149,-0.0242380217323149
"heteroscedastic",2,500,10,3,45,1,0,0,-0.0208864831380814,-0.0208864831380814
"heteroscedastic",2,500,10,4,45,1,0,0,-0.0293862983859125,-0.0293862983859125
"heteroscedastic",2,500,10,5,45,1,0,0,-0.027940814726031,-0.027940814726031
"heteroscedastic",2,500,10,6,45,1,0,0,-0.0187631065082447,-0.0187631065082447
"heteroscedastic",2,500,10,7,45,1,0,0,-0.0256365181837788,-0.0256365181837788
"heteroscedastic",2,500,10,8,45,1,0,0,-0.0188969915992262,-0.0188969915992262
"heteroscedastic",2,500,10,9,45,1,0,0,-0.0187241882481872,-0.0187241882481872
"heteroscedastic",2,500,10,10,45,1,0,0,-0.0191372454588339,-0.0191372454588339
"heteroscedastic",2,500,10,11,45,1,0,0,-0.0170117056483824,-0.0170117056483824
"heteroscedastic",2,500,10,12,45,1,0,0,-0.0257656436810267,-0.0257656436810267
"heteroscedastic",2,500,10,13,45,1,0,0,-0.0192637891636354,-0.0192637891636354
"heteroscedastic",2,500,10,14,45,1,0,0,-0.0275848390560763,-0.0275848390560763
"heteroscedastic",2,500,10,15,45,1,0,0,-0.0153427641628811,-0.0153427641628811
"heteroscedastic",2,500,10,16,45,1,0,0,-0.0273184768910836,-0.0273184768910836
"heteroscedastic",2,500,10,17,45,1,0,0,-0.0184520585532888,-0.0184520585532888
"heteroscedastic",2,500,10,18,45,1,0,0,-0.0213456871888962,-0.0213456871888962
"heteroscedastic",2,500,10,19,45,1,0,0,-0.0158023761507744,-0.0158023761507744
"heteroscedastic",2,500,10,20,45,1,0,0,-0.0192197525807464,-0.0192197525807464
"heteroscedastic",2,500,10,21,45,1,0,0,-0.0189706063706492,-0.0189706063706492
"heteroscedastic",2,500,10,22,45,1,0,0,-0.0163343305302508,-0.0163343305302508
"heteroscedastic",2,500,10,23,45,1,0,0,-0.0208982414280847,-0.0208982414280847
"heteroscedastic",2,500,10,24,45,1,0,0,-0.00744439712587836,-0.00744439712587836
"heteroscedastic",2,500,10,25,45,1,0,0,-0.0177778004708478,-0.0177778004708478
"heteroscedastic",2,500,10,26,45,1,0,0,-0.0293988663135299,-0.0293988663135299
"heteroscedastic",2,500,10,27,45,1,0,0,-0.0334475228198228,-0.0334475228198228
"heteroscedastic",2,500,10,28,45,1,0,0,-0.0144516287616041,-0.0144516287616041
"heteroscedastic",2,500,10,29,45,1,0,0,-0.0197696733306845,-0.0197696733306845
"heteroscedastic",2,500,10,30,45,1,0,0,-0.0168679950761656,-0.0168679950761656
"heteroscedastic",2,500,10,31,45,1,0,0,-0.0237944908479176,-0.0237944908479176
"heteroscedastic",2,500,10,32,45,1,0,0,-0.0228720318433695,-0.0228720318433695
"heteroscedastic",2,500,10,33,45,1,0,0,-0.0174106459392189,-0.0174106459392189
"heteroscedastic",2,500,10,34,45,1,0,0,-0.0170470195657314,-0.0170470195657314
"heteroscedastic",2,500,10,35,45,1,0,0,-0.0149868477720329,-0.0149868477720329
"heteroscedastic",2,500,10,36,45,1,0,0,-0.0149508926381741,-0.0149508926381741
"heteroscedastic",2,500,10,37,45,1,0,0,-0.0180190868000965,-0.0180190868000965
"heteroscedastic",2,500,10,38,45,1,0,0,-0.0199222788135348,-0.0199222788135348
"heteroscedastic",2,500,10,39,45,1,0,0,-0.0130910219467689,-0.0130910219467689
