"scenario","K","n","p","mc_reps","total_pairs","prop_corr_decrease","prop_corr_increase","prop_corr_equal","mean_signed_diff","mean_negative_diff"
"complete_null",2,500,10,100,45,0.627777777777778,0.372222222222222,0,0.739562454925489,-0.00272938279566227
"heteroscedastic",2,500,10,100,45,1,0,0,-0.019693809083619,-0.019693809083619
"homoscedastic",2,500,10,100,45,1,0,0,-0.000840544944020453,-0.000840544944020453
"nonlinear_var",2,500,10,100,45,1,0,0,-0.000956095612058291,-0.000956095612058291
"spread_only",2,500,10,100,45,0.502222222222222,0.497777777777778,0,0.988930950674528,-0.00266434102710313
"complete_null",3,500,10,100,45,0.042,0.958,0,0.698381377461033,-0.00300352102846201
"heteroscedastic",3,500,10,100,45,0.982222222222222,0.0177777777777778,0,-0.023474241622037,-0.023937420599331
"homoscedastic",3,500,10,100,45,0.689333333333333,0.310666666666667,0,-0.00057909716177978,-0.0014481795526909
"nonlinear_var",3,500,10,100,45,0.669777777777778,0.330222222222222,0,-0.000614220269984694,-0.00163885315133429
"spread_only",3,500,10,100,45,0.0313333333333333,0.968666666666667,0,0.968331019815687,-0.00350664012349667
"complete_null",5,500,10,100,45,0.000666666666666667,0.999333333333333,0,0.621732903973683,-0.000187878436116001
"heteroscedastic",5,500,10,100,45,0.944666666666667,0.0553333333333333,0,-0.0230588513844213,-0.0247123053040063
"homoscedastic",5,500,10,100,45,0.337777777777778,0.662222222222222,0,0.00201886964469888,-0.00200105179390546
"nonlinear_var",5,500,10,100,45,0.31,0.69,0,0.00280974641294567,-0.00212634770940966
"spread_only",5,500,10,100,45,0.000666666666666667,0.999333333333333,0,0.978271492543045,-6.14151316248746e-05
"complete_null",10,500,10,100,45,0,1,0,0.620540553745289,0
"heteroscedastic",10,500,10,100,45,0.843111111111111,0.156888888888889,0,-0.0197473597978732,-0.0252332079337395
"homoscedastic",10,500,10,100,45,0.0797777777777778,0.920222222222222,0,0.0110593882771079,-0.00189764679282618
"nonlinear_var",10,500,10,100,45,0.0668888888888889,0.933111111111111,0,0.0130401385229669,-0.00231959407307595
"spread_only",10,500,10,100,45,0,1,0,0.935851760532797,0
