"K","p","n_rep","G_mean","G_sd","G_mcse","equivocal_within_deg","equivocal_between_deg","equivocal_within_threshold","equivocal_between_threshold"
2,2,400,1.60880258330636,0.196946191397043,0.00984730956985217,37.5,52.5,0.76732698797896,1.30322537284121
2,5,400,1.35755261967521,0.0978309053186694,0.00489154526593347,37.5,52.5,0.76732698797896,1.30322537284121
2,10,400,1.18546913445338,0.0485622968339306,0.00242811484169653,37.5,52.5,0.76732698797896,1.30322537284121
2,50,400,1.01693701359337,0.00423613032558554,0.000211806516279277,37.5,52.5,0.76732698797896,1.30322537284121
3,2,400,1.83689054999229,0.239071343922701,0.011953567196135,37.5,52.5,0.76732698797896,1.30322537284121
3,5,400,1.49606242658265,0.115762443642504,0.00578812218212521,37.5,52.5,0.76732698797896,1.30322537284121
3,10,400,1.257425637536,0.0561774977065012,0.00280887488532506,37.5,52.5,0.76732698797896,1.30322537284121
3,50,400,1.02367141735849,0.00496214071073466,0.000248107035536733,37.5,52.5,0.76732698797896,1.30322537284121
5,2,400,2.0022360619622,0.258694291197348,0.0129347145598674,37.5,52.5,0.76732698797896,1.30322537284121
5,5,400,1.6049836038906,0.119677619163033,0.00598388095815165,37.5,52.5,0.76732698797896,1.30322537284121
5,10,400,1.31689933814498,0.0580510066735516,0.00290255033367758,37.5,52.5,0.76732698797896,1.30322537284121
5,50,400,1.02946514365786,0.00527858454721502,0.000263929227360751,37.5,52.5,0.76732698797896,1.30322537284121
10,2,400,2.08339162955865,0.280710219295596,0.0140355109647798,37.5,52.5,0.76732698797896,1.30322537284121
10,5,400,1.67306819866909,0.11487553423295,0.00574377671164751,37.5,52.5,0.76732698797896,1.30322537284121
10,10,400,1.35935488730289,0.0521152058081781,0.0026057602904089,37.5,52.5,0.76732698797896,1.30322537284121
10,50,400,1.03393116584596,0.00437950189662987,0.000218975094831494,37.5,52.5,0.76732698797896,1.30322537284121
