"scenario","p","n_rep","info_gain_mean","info_gain_sd","info_gain_mcse","delta_tr_mean","delta_tr_sd","delta_tr_mcse","radius_prop_mean","radius_prop_sd","radius_prop_mcse","mean_eta_B_waba_mean","mean_eta_B_waba_sd","mean_eta_B_waba_mcse","mean_eta_B_int_mean","mean_eta_B_int_sd","mean_eta_B_int_mcse","mean_delta_eta_mean","mean_delta_eta_sd","mean_delta_eta_mcse","mean_pi_R_mean","mean_pi_R_sd","mean_pi_R_mcse","mean_E_R_het_int_mean","mean_E_R_het_int_sd","mean_E_R_het_int_mcse","mean_r_R_billard_mean","mean_r_R_billard_sd","mean_r_R_billard_mcse","mean_r_R_het_signed_mean","mean_r_R_het_signed_sd","mean_r_R_het_signed_mcse","equivocal_within_deg","equivocal_between_deg","equivocal_within_threshold","equivocal_between_threshold"
"complete_null",2,100,56.0680100615397,33.6725495698638,3.36725495698638,0.660657718735959,0.0286726103923954,0.00286726103923954,0.977093106288347,0.0105797302563482,0.00105797302563482,0.0831787879122025,0.0205176228602869,0.00205176228602869,0.504354622607788,0.00203812496836105,0.000203812496836105,0.421175834695586,0.0185272268450489,0.00185272268450489,0.977204433386385,0.0105045839467621,0.00105045839467621,0.0340980871810067,0.00906219089603172,0.000906219089603172,0.996497304175053,0.00238234686625858,0.000238234686625858,0.0619412685731042,0.5375986188905,0.05375986188905,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",5,100,50.4141495044306,21.9472658499407,2.19472658499407,1.65129927419114,0.0504844098113846,0.00504844098113846,0.976780306255537,0.00919767681737001,0.000919767681737001,0.0832598646103941,0.0168059466881774,0.00168059466881774,0.504398407538378,0.00175889442351718,0.000175889442351718,0.421138542927984,0.0150854877291503,0.00150854877291503,0.976998994414637,0.00901748731573732,0.000901748731573732,0.0335650246881713,0.00510371078149247,0.000510371078149247,0.99665605999657,0.00100363705819764,0.000100363705819764,0.106501360932085,0.202049432807857,0.0202049432807857,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",10,100,48.0369410593091,18.3171418781301,1.83171418781301,3.30558547001033,0.0913199498585534,0.00913199498585534,0.976723757797559,0.00766408501533751,0.000766408501533751,0.0831915881433908,0.014056621374865,0.0014056621374865,0.504418371028448,0.00146895998396125,0.000146895998396125,0.421226782885057,0.012611409398398,0.0012611409398398,0.976902784669905,0.00753469686496758,0.000753469686496758,0.0337947685344057,0.00413327003625338,0.000413327003625338,0.996597928490502,0.000721847667198529,7.21847667198529e-05,0.103949672229433,0.132721842138407,0.0132721842138407,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",50,100,45.09322755636,10.6288985222625,1.06288985222625,16.5379932245899,0.407359106239159,0.0407359106239159,0.976550550659877,0.00585736439747497,0.000585736439747497,0.0839292315715439,0.0108024892990159,0.00108024892990159,0.504451531067526,0.00112999746902303,0.000112999746902303,0.420522299495982,0.00968165536439182,0.000968165536439182,0.976716548106812,0.00579681747554072,0.000579681747554073,0.034463001753916,0.00236129347164939,0.000236129347164939,0.996467007854071,0.000357939471059954,3.57939471059954e-05,0.103482355291306,0.0738171063621611,0.00738171063621611,37.5,52.5,0.76732698797896,1.30322537284121
"heteroscedastic",2,100,1.99619758311109,0.211463983787664,0.0211463983787664,1.25150117979179,0.238486525218992,0.0238486525218992,0.493460038926281,0.0537422067430065,0.00537422067430065,0.502199539573551,0.0396942698021519,0.00396942698021519,0.635115945589373,0.020508419717101,0.0020508419717101,0.132916406015822,0.0192555654402418,0.00192555654402418,0.49864893850578,0.0521013387533841,0.00521013387533841,0.246190101041154,0.0498381441644019,0.00498381441644019,0.98940029074156,0.00662312434366197,0.000662312434366197,0.945797698861998,0.0585815682747709,0.00585815682747709,37.5,52.5,0.76732698797896,1.30322537284121
"heteroscedastic",5,100,1.61021529568149,0.114016061284686,0.0114016061284686,3.14040023015725,0.570529270402708,0.0570529270402708,0.375906345728334,0.0438445310267346,0.00438445310267346,0.58286328632001,0.0352194115655665,0.00352194115655665,0.680706604491165,0.0204445195577662,0.00204445195577662,0.0978433181711552,0.0148532236230226,0.00148532236230226,0.397873237085733,0.0431743633305569,0.00431743633305569,0.247800825762438,0.0463831654658295,0.00463831654658295,0.989276642531379,0.00436674291863641,0.000436674291863641,0.948078476023696,0.0347660749144701,0.00347660749144701,37.5,52.5,0.76732698797896,1.30322537284121
"heteroscedastic",10,100,1.31833337219194,0.0570350339438175,0.00570350339438175,6.34684802208904,1.12983970286083,0.112983970286083,0.240073448779896,0.0325775797663954,0.00325775797663954,0.678388767616591,0.0306768969791626,0.00306768969791626,0.742870390239899,0.0200445027136669,0.00200445027136669,0.0644816226233081,0.0106988096532426,0.00106988096532426,0.291057451206323,0.034154747225155,0.0034154747225155,0.247906123713241,0.0472874785677638,0.00472874785677638,0.989553063236315,0.00304159052604455,0.000304159052604455,0.948239791386858,0.0330194707255375,0.00330194707255375,37.5,52.5,0.76732698797896,1.30322537284121
"heteroscedastic",50,100,1.02939716699544,0.00511615995128551,0.000511615995128551,31.7140291010436,5.50174228588613,0.550174228588613,0.0285339318289793,0.00482111746145768,0.000482111746145768,0.893724761157888,0.0123291784993455,0.00123291784993455,0.908775645121546,0.00966148954741868,0.000966148954741867,0.0150508839636583,0.00270030624428519,0.000270030624428519,0.0882125038762558,0.0114909272235619,0.00114909272235619,0.247682508247082,0.0463285942837835,0.00463285942837835,0.989217110655203,0.0016482411644423,0.00016482411644423,0.94629847149995,0.0295670877846783,0.00295670877846783,37.5,52.5,0.76732698797896,1.30322537284121
"homoscedastic",2,100,1.66438309826113,0.0722743599303392,0.00722743599303392,0.662688457179826,0.0294569755953611,0.00294569755953611,0.398072189764687,0.0257417901439946,0.00257417901439946,0.578275943763813,0.0206650715681832,0.00206650715681832,0.675139974351513,0.0118232608203604,0.00118232608203604,0.0968640305876996,0.00885766060379526,0.000885766060379526,0.399452556992466,0.0257847667084481,0.00257847667084481,0.0345826992275447,0.00995466582959203,0.000995466582959203,0.995605852096568,0.00305500596514196,0.000305500596514196,-0.0748388004779864,0.476096284890011,0.0476096284890011,37.5,52.5,0.76732698797896,1.30322537284121
"homoscedastic",5,100,1.66070215389001,0.0410162761816644,0.00410162761816644,1.65794273230149,0.0473980124689097,0.00473980124689097,0.397486770279661,0.0146638330982537,0.00146638330982537,0.578468972345905,0.0116710725043061,0.00116710725043061,0.675170721779088,0.00667705312457283,0.000667705312457283,0.096701749433183,0.00500164914095793,0.000500164914095793,0.399093984291879,0.0145614790765915,0.00145614790765915,0.034518738821279,0.00605415121795236,0.000605415121795236,0.995882945419085,0.00139393019542651,0.000139393019542651,-0.0253000823358262,0.142691052517159,0.0142691052517159,37.5,52.5,0.76732698797896,1.30322537284121
